states,year,quarter,trans_type,trans_counts,amount,brand,user_counts,percentage,level
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.467365509,Xiaomi,1665.0,0.247032640949554,state_aggregated
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.467365509,Samsung,1445.0,0.214391691394658,state_aggregated
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.467365509,Vivo,982.0,0.145697329376854,state_aggregated
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.467365509,Oppo,501.0,0.074332344213649,state_aggregated
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.467365509,OnePlus,332.0,0.049258160237388,state_aggregated
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.467365509,Realme,316.0,0.046884272997032,state_aggregated
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.467365509,Apple,229.0,0.033976261127596,state_aggregated
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.467365509,Motorola,226.0,0.033531157270029,state_aggregated
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.467365509,Lenovo,202.0,0.029970326409495,state_aggregated
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.467365509,Huawei,158.0,0.023442136498516,state_aggregated
andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.467365509,Others,684.0,0.101483679525222,state_aggregated
andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.299749982,Xiaomi,1665.0,0.247032640949554,state_aggregated
andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.299749982,Samsung,1445.0,0.214391691394658,state_aggregated
andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.299749982,Vivo,982.0,0.145697329376854,state_aggregated
andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.299749982,Oppo,501.0,0.074332344213649,state_aggregated
andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.299749982,OnePlus,332.0,0.049258160237388,state_aggregated
andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.299749982,Realme,316.0,0.046884272997032,state_aggregated
andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.299749982,Apple,229.0,0.033976261127596,state_aggregated
andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.299749982,Motorola,226.0,0.033531157270029,state_aggregated
andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.299749982,Lenovo,202.0,0.029970326409495,state_aggregated
